LSOA_Code,Health_Score,Health_Rank,Health_Decile
E01005262,1.289,2406,1
E01005263,1.618,1074,1
E01005264,2.383,105,1
E01005265,1.285,2429,1
E01005266,1.767,723,1
E01005267,0.877,5241,2
E01005268,0.701,6862,3
E01005269,0.764,6229,2
E01005270,1.475,1574,1
E01005271,1.427,1752,1
E01005272,1.569,1236,1
E01005273,1.713,844,1
E01005274,1.521,1392,1
E01005275,0.537,8663,3
E01005276,1.338,2163,1
E01005277,0.116,14267,5
E01005278,0.545,8562,3
E01005279,0.934,4752,2
E01005280,0.952,4601,2
E01005281,1.057,3821,2
E01005282,0.855,5412,2
E01005283,1.298,2359,1
E01005284,1.129,3321,2
E01005285,1.965,388,1
E01005286,0.653,7355,3
E01005287,1.718,827,1
E01005288,1.119,3394,2
E01005289,1.924,436,1
E01005290,2.082,268,1
E01005291,2.113,244,1
E01005292,2.182,198,1
E01005293,0.84,5539,2
E01005294,1.115,3420,2
E01005295,1.019,4098,2
E01005296,0.653,7363,3
E01005297,0.521,8862,3
E01005298,0.555,8453,3
E01005299,0.432,9919,4
E01005300,0.62,7721,3
E01005301,0.199,13077,4
E01005302,0.953,4589,2
E01005304,0.72,6672,3
E01005305,0.116,14271,5
E01005306,0.217,12827,4
E01005307,0.363,10809,4
E01005308,1.11,3461,2
E01005309,1.293,2388,1
E01005310,1.42,1787,1
E01005311,0.676,7115,3
E01005312,1.789,682,1
E01005313,1.831,590,1
E01005314,1.785,689,1
E01005315,1.66,957,1
E01005316,1.424,1768,1
E01005317,1.902,462,1
E01005318,1.813,630,1
E01005319,1.41,1831,1
E01005320,1.099,3531,2
E01005321,1.008,4173,2
E01005322,1.778,702,1
E01005323,1.323,2231,1
E01005324,1.859,540,1
E01005325,2.141,230,1
E01005326,0.59,8057,3
E01005327,0.809,5816,2
E01005328,1.231,2702,1
E01005329,-0.019,16284,5
E01005330,-0.141,18244,6
E01005331,0.367,10758,4
E01005332,0.927,4811,2
E01005333,-0.104,17628,6
E01005334,-0.083,17310,6
E01005335,-0.023,16345,5
E01005336,-0.136,18158,6
E01005337,0.758,6310,2
E01005338,1.375,1983,1
E01005339,-0.283,20386,7
E01005340,0.974,4424,2
E01005341,0.479,9334,3
E01005342,1.355,2061,1
E01005343,0.934,4756,2
E01005344,0.83,5632,2
E01005345,0.191,13191,5
E01005346,0.452,9683,3
E01005347,0.297,11672,4
E01005348,1.337,2170,1
E01005349,0.762,6256,2
E01005350,2.449,83,1
E01005351,0.315,11423,4
E01005352,0.703,6847,3
E01005353,1.47,1597,1
E01005354,0.72,6682,3
E01005355,0.834,5590,2
E01005356,0.456,9643,3
E01005357,0.357,10901,4
E01005358,1.215,2788,1
E01005359,0.361,10838,4
E01005360,1,4226,2
E01005361,0.176,13379,5
E01005362,0.355,10919,4
E01005363,0.73,6592,3
E01005364,0.105,14428,5
E01005365,0.457,9629,3
E01005366,0.991,4294,2
E01005367,-0.078,17215,6
E01005368,1.161,3100,1
E01005369,1.194,2905,1
E01005370,1.415,1808,1
E01005371,1.194,2907,1
E01005372,0.973,4434,2
E01005373,0.353,10932,4
E01005374,0.541,8616,3
E01005375,0.101,14506,5
E01005376,1.295,2372,1
E01005377,1.542,1317,1
E01005378,0.498,9110,3
E01005379,1.184,2961,1
E01005380,1.039,3940,2
E01005381,1.349,2098,1
E01005382,1.234,2678,1
E01005383,0.826,5666,2
E01005386,1.275,2486,1
E01005387,0.189,13210,5
E01005388,0.505,9032,3
E01005389,1.335,2176,1
E01005390,0.283,11853,4
E01005391,0.178,13351,5
E01005392,1.287,2419,1
E01005393,0.432,9913,4
E01005394,0.147,13766,5
E01005395,0.407,10237,4
E01005396,0.299,11646,4
E01005397,0.599,7939,3
E01005398,0.377,10628,4
E01005399,0.219,12793,4
E01005400,1.118,3400,2
E01005401,-0.034,16519,6
E01005402,0.673,7149,3
E01005403,0.325,11278,4
E01005406,-0.348,21426,7
E01005407,-0.642,25248,8
E01005408,-0.587,24549,8
E01005409,-0.492,23314,8
E01005410,-0.019,16294,5
E01005411,-0.084,17326,6
E01005412,-0.306,20744,7
E01005413,-0.466,22960,7
E01005414,-0.259,20008,7
E01005415,0.148,13759,5
E01005416,-0.176,18775,6
E01005417,-0.481,23149,8
E01005418,0.018,15731,5
E01005419,-0.097,17524,6
E01005420,0.423,10030,4
E01005421,0.873,5279,2
E01005422,1.264,2533,1
E01005427,0.954,4580,2
E01005428,1.026,4040,2
E01005429,1.022,4082,2
E01005430,0.801,5897,2
E01005431,0.66,7292,3
E01005432,1.664,945,1
E01005433,1.742,772,1
E01005434,1.407,1846,1
E01005435,0.565,8337,3
E01005436,0.072,14911,5
E01005437,0.573,8256,3
E01005438,0.677,7103,3
E01005439,0.315,11427,4
E01005440,0.887,5166,2
E01005441,1.089,3603,2
E01005442,-0.237,19669,6
E01005443,-0.296,20592,7
E01005444,0.499,9105,3
E01005445,1.067,3754,2
E01005446,0.635,7554,3
E01005447,1.644,998,1
E01005448,1.903,459,1
E01005449,1.117,3412,2
E01005450,0.372,10702,4
E01005451,0.306,11545,4
E01005452,0.199,13078,4
E01005453,0.046,15299,5
E01005454,-0.018,16279,5
E01005455,0.286,11820,4
E01005456,1.355,2069,1
E01005459,0.822,5705,2
E01005460,0.59,8065,3
E01005461,0.969,4461,2
E01005462,0.974,4419,2
E01005463,0.642,7477,3
E01005464,1.534,1340,1
E01005465,0.656,7331,3
E01005466,1.929,431,1
E01005467,1.485,1540,1
E01005468,-0.105,17652,6
E01005469,0.604,7882,3
E01005470,0.519,8887,3
E01005471,0.689,6995,3
E01005472,1.247,2611,1
E01005473,0.871,5285,2
E01005474,1.2,2874,1
E01005475,1.334,2181,1
E01005476,0.549,8525,3
E01005477,1.291,2396,1
E01005478,0.896,5086,2
E01005479,0.916,4900,2
E01005480,0.849,5458,2
E01005481,1.015,4127,2
E01005482,2.172,206,1
E01005483,1.921,440,1
E01005484,1.417,1805,1
E01005485,1.878,502,1
E01005486,1.13,3308,2
E01005487,0.966,4493,2
E01005488,-0.231,19587,6
E01005489,0.541,8620,3
E01005490,0.994,4267,2
E01005491,0.511,8970,3
E01005492,0.118,14224,5
E01005493,0.135,13959,5
E01005494,0.419,10076,4
E01005495,0.65,7384,3
E01005496,1.449,1663,1
E01005497,1.422,1776,1
E01005498,0.657,7322,3
E01005499,0.242,12471,4
E01005500,0.769,6184,2
E01005501,1.682,911,1
E01005502,1.644,996,1
E01005503,0.01,15858,5
E01005504,0.621,7702,3
E01005505,0.906,5005,2
E01005506,0.923,4847,2
E01005507,0.298,11659,4
E01005508,-0.352,21479,7
E01005509,1.926,435,1
E01005510,0.234,12610,4
E01005511,0.924,4839,2
E01005512,1.066,3757,2
E01005513,1.542,1316,1
E01005514,0.649,7404,3
E01005515,1.22,2765,1
E01005516,0.44,9828,3
E01005517,0.097,14554,5
E01005518,0.616,7749,3
E01005519,0.319,11374,4
E01005520,0.344,11052,4
E01005521,0.651,7377,3
E01005522,1.252,2582,1
E01005523,0.359,10871,4
E01005524,0.77,6177,2
E01005525,1.339,2155,1
E01005526,0.919,4873,2
E01005527,1.907,456,1
E01005528,0.764,6231,2
E01005529,1.355,2066,1
E01005530,0.187,13248,5
E01005531,0.793,5967,2
E01005532,1.476,1572,1
E01005533,0.608,7841,3
E01005534,0.716,6718,3
E01005535,0.629,7611,3
E01005536,0.642,7467,3
E01005537,0.145,13801,5
E01005538,1.007,4178,2
E01005539,0.967,4484,2
E01005540,0.685,7023,3
E01005541,0.795,5950,2
E01005542,1.406,1855,1
E01005543,0.703,6848,3
E01005544,0.033,15501,5
E01005545,0.145,13795,5
E01005546,0.791,5984,2
E01005547,0.724,6638,3
E01005548,1.355,2067,1
E01005549,-0.147,18348,6
E01005550,0.321,11335,4
E01005551,1.742,773,1
E01005552,1.695,879,1
E01005553,0.725,6636,3
E01005554,0.754,6338,2
E01005555,0.18,13332,5
E01005556,0.332,11181,4
E01005557,0.499,9096,3
E01005558,0.798,5926,2
E01005559,1.669,936,1
E01005560,0.527,8780,3
E01005561,0.699,6897,3
E01005562,0.898,5068,2
E01005563,0.986,4331,2
E01005564,1.058,3816,2
E01005565,0.96,4544,2
E01005566,0.801,5887,2
E01005567,0.756,6326,2
E01005568,1.968,387,1
E01005569,0.799,5919,2
E01005570,0.579,8180,3
E01005571,-0.241,19730,7
E01005572,0.124,14127,5
E01005573,0.12,14193,5
E01005574,0.007,15895,5
E01005575,0.305,11554,4
E01005576,-0.328,21084,7
E01005577,-0.234,19642,6
E01005578,1.816,627,1
E01005579,1.321,2242,1
E01005580,0.766,6214,2
E01005581,1.685,903,1
E01005583,1.282,2449,1
E01005585,0.964,4511,2
E01005586,1.433,1729,1
E01005587,0.425,10009,4
E01005588,1.193,2914,1
E01005589,0.672,7159,3
E01005590,0.749,6372,2
E01005591,0.485,9263,3
E01005592,1.297,2366,1
E01005593,0.76,6288,2
E01005594,0.687,7005,3
E01005595,2.007,339,1
E01005596,0.201,13052,4
E01005597,0.286,11811,4
E01005598,0.127,14087,5
E01005599,1.575,1215,1
E01005600,1.242,2638,1
E01005601,2.04,308,1
E01005602,2.042,306,1
E01005603,1.089,3606,2
E01005604,0.968,4471,2
E01005605,1.088,3620,2
E01005609,1.411,1824,1
E01005610,1.858,543,1
E01005611,1.634,1029,1
E01005612,2.006,341,1
E01005613,1.714,841,1
E01005614,0.57,8291,3
E01005615,1.698,875,1
E01005616,1.345,2122,1
E01005617,0.346,11018,4
E01005618,0.977,4385,2
E01005619,1.388,1931,1
E01005620,0.331,11204,4
E01005621,1.225,2746,1
E01005622,0.711,6767,3
E01005623,0.552,8489,3
E01005624,1.498,1484,1
E01005625,0.719,6692,3
E01005626,0.66,7288,3
E01005627,0.611,7811,3
E01005628,1.108,3477,2
E01005629,0.99,4308,2
E01005630,0.677,7093,3
E01005631,2.074,279,1
E01005632,0.808,5820,2
E01005633,1.274,2492,1
E01005634,-0.311,20809,7
E01005635,0.683,7045,3
E01005636,0.584,8122,3
E01005637,0.738,6491,2
E01005638,1.649,975,1
E01005639,1.641,1004,1
E01005640,1.246,2615,1
E01005641,1.139,3252,1
E01005642,0.246,12402,4
E01005643,0.471,9443,3
E01005644,0.16,13616,5
E01005645,0.097,14553,5
E01005646,0.045,15322,5
E01005647,0.23,12645,4
E01005648,0.218,12818,4
E01005649,0.326,11261,4
E01005650,1.174,3027,1
E01005651,0.34,11100,4
E01005652,1.09,3596,2
E01005653,1.177,3005,1
E01005654,1.587,1169,1
E01005655,1.584,1184,1
E01005656,1.357,2051,1
E01005657,1.825,605,1
E01005658,2.18,200,1
E01005659,1.585,1177,1
E01005660,1.507,1450,1
E01005661,1.501,1469,1
E01005662,1.452,1653,1
E01005663,1.302,2335,1
E01005664,1.288,2415,1
E01005665,2.164,212,1
E01005667,1.946,410,1
E01005670,1.515,1413,1
E01005671,1.465,1612,1
E01005672,0.745,6418,2
E01005673,0.721,6663,3
E01005674,1.289,2405,1
E01005675,0.88,5218,2
E01005676,0.28,11903,4
E01005677,0.439,9842,3
E01005678,1.458,1628,1
E01005679,1.636,1025,1
E01005680,2.107,247,1
E01005681,1.854,549,1
E01005682,2.649,40,1
E01005683,2.322,127,1
E01005686,0.913,4931,2
E01005687,0.606,7867,3
E01005688,0.314,11437,4
E01005689,1.32,2244,1
E01005690,0.739,6479,2
E01005691,0.321,11328,4
E01005692,1.754,753,1
E01005693,0.51,8985,3
E01005694,0.083,14766,5
E01005695,-0.068,17063,6
E01005696,0.542,8607,3
E01005697,0.18,13331,5
E01005698,1.837,579,1
E01005699,0.292,11732,4
E01005700,1.089,3601,2
E01005701,-0.016,16247,5
E01005702,0.856,5402,2
E01005703,1.49,1518,1
E01005704,0.629,7615,3
E01005705,0.57,8290,3
E01005706,1.448,1669,1
E01005707,1.36,2038,1
E01005708,1.219,2775,1
E01005709,1.507,1452,1
E01005710,0.868,5309,2
E01005711,0.398,10355,4
E01005712,0.703,6849,3
E01005713,0.034,15478,5
E01005714,1.118,3402,2
E01005715,0.076,14850,5
E01005716,-0.255,19945,7
E01005717,0.099,14527,5
E01005718,0.993,4279,2
E01005719,1.412,1820,1
E01005720,1.564,1251,1
E01005721,1.08,3677,2
E01005722,1.586,1175,1
E01005723,1.946,411,1
E01005724,0.657,7321,3
E01005725,1.461,1623,1
E01005726,1.131,3302,2
E01005727,0.849,5457,2
E01005728,0.54,8625,3
E01005729,2,348,1
E01005730,0.759,6291,2
E01005731,1.101,3521,2
E01005732,1.455,1643,1
E01005733,1.698,874,1
E01005734,0.681,7064,3
E01005735,0.144,13810,5
E01005736,0.273,12011,4
E01005737,-0.107,17678,6
E01005738,-0.254,19936,7
E01005739,0.033,15503,5
E01005740,-0.346,21384,7
E01005741,-0.357,21543,7
E01005742,0.182,13313,5
E01005743,0.309,11506,4
E01005744,1.594,1146,1
E01005745,0.122,14154,5
E01005746,1.847,557,1
E01005747,0.165,13554,5
E01005748,-0.246,19801,7
E01005749,0.192,13178,5
E01005750,0.3,11633,4
E01005751,0.534,8704,3
E01005752,0.786,6035,2
E01005753,1.919,441,1
E01005754,2.651,39,1
E01005755,1.807,641,1
E01005756,1.931,430,1
E01005757,0.846,5483,2
E01005758,2.666,38,1
E01005759,0.585,8116,3
E01005760,1.509,1442,1
E01005761,0.787,6025,2
E01005762,1.955,396,1
E01005763,1.176,3020,1
E01005764,1.114,3428,2
E01005765,0.055,15155,5
E01005766,1.828,598,1
E01005767,-0.059,16925,6
E01005768,-0.276,20308,7
E01005769,0.05,15228,5
E01005770,0.043,15340,5
E01005771,0.145,13793,5
E01005772,0.025,15620,5
E01005773,0.2,13065,4
E01005774,1.516,1404,1
E01005775,-0.17,18673,6
E01005776,-0.249,19852,7
E01005777,0.276,11956,4
E01005778,0.21,12928,4
E01005779,0.475,9400,3
E01005780,0.446,9760,3
E01005781,1.737,786,1
E01005782,0.165,13542,5
E01005783,0.118,14231,5
E01005784,-0.591,24599,8
E01005785,-0.159,18523,6
E01005786,-0.122,17926,6
E01005787,-0.579,24442,8
E01005788,-0.243,19778,7
E01005789,-0.567,24279,8
E01005790,0.728,6604,3
E01005791,0.327,11252,4
E01005792,-0.941,28323,9
E01005793,0.032,15520,5
E01005794,-0.489,23281,8
E01005795,-0.241,19727,7
E01005796,-0.346,21387,7
E01005797,1.011,4150,2
E01005798,0.955,4573,2
E01005799,1.533,1343,1
E01005800,0.074,14892,5
E01005801,0.31,11487,4
E01005802,-0.39,21990,7
E01005803,-0.161,18555,6
E01005804,0.458,9615,3
E01005805,-0.095,17488,6
E01005806,-0.02,16303,5
E01005807,-0.35,21453,7
E01005808,-0.445,22714,7
E01005809,-0.445,22710,7
E01005810,-0.075,17171,6
E01005811,-0.226,19513,6
E01005812,-0.623,24991,8
E01005813,-0.332,21150,7
E01005814,-0.176,18762,6
E01005815,-0.48,23138,8
E01005816,0.42,10058,4
E01005817,1.096,3554,2
E01005818,0.675,7125,3
E01005819,0.086,14724,5
E01005820,0.801,5891,2
E01005821,0.713,6752,3
E01005822,2.104,248,1
E01005823,0.952,4602,2
E01005824,0.58,8169,3
E01005825,0.481,9315,3
E01005826,1.496,1491,1
E01005827,0.111,14339,5
E01005828,1.868,526,1
E01005829,1.168,3061,1
E01005830,0.37,10719,4
E01005831,0.39,10481,4
E01005832,0.456,9638,3
E01005833,1.044,3913,2
E01005834,0.781,6083,2
E01005835,-0.042,16663,6
E01005836,0.229,12651,4
E01005837,-0.072,17126,6
E01005838,0.202,13027,4
E01005839,-0.155,18467,6
E01005840,0.547,8536,3
E01005841,0.056,15149,5
E01005842,-0.34,21283,7
E01005843,-0.061,16955,6
E01005844,0.275,11964,4
E01005845,0.024,15634,5
E01005846,0.174,13409,5
E01005847,-0.039,16612,6
E01005848,-0.301,20668,7
E01005849,-0.332,21152,7
E01005850,0.6,7928,3
E01005851,0.018,15736,5
E01005852,-0.204,19195,6
E01005853,0.468,9480,3
E01005854,-0.402,22138,7
E01005855,-0.584,24496,8
E01005856,-0.288,20470,7
E01005857,-0.017,16259,5
E01005858,-0.049,16766,6
E01005859,0.683,7039,3
E01005860,-0.406,22201,7
E01005861,0.252,12310,4
E01005862,-0.343,21340,7
E01005863,0.145,13802,5
E01005864,-0.704,25963,8
E01005865,-0.577,24408,8
E01005866,0.563,8368,3
E01005867,-0.385,21930,7
E01005868,-0.328,21086,7
E01005869,0.145,13799,5
E01005870,0.705,6824,3
E01005871,0.583,8137,3
E01005872,0.847,5469,2
E01005873,0.282,11867,4
E01005874,1.946,409,1
E01005875,0.165,13543,5
E01005876,0.719,6690,3
E01005877,0.578,8186,3
E01005878,0.995,4264,2
E01005879,0.323,11301,4
E01005880,-0.168,18647,6
E01005881,-0.441,22652,7
E01005882,0.28,11900,4
E01005883,-0.643,25261,8
E01005884,-0.392,22017,7
E01005885,0.401,10311,4
E01005886,1.065,3766,2
E01005887,0.951,4609,2
E01005888,0.607,7851,3
E01005889,0.859,5376,2
E01005890,0.691,6979,3
E01005891,0.243,12457,4
E01005892,0.376,10631,4
E01005893,0.826,5667,2
E01005894,0.429,9965,4
E01005895,0.841,5527,2
E01005896,0.527,8771,3
E01005897,0.741,6449,2
E01005898,0.307,11531,4
E01005899,0.251,12325,4
E01005900,0.834,5593,2
E01005901,0.228,12668,4
E01005902,1.17,3047,1
E01005903,-0.256,19971,7
E01005904,-0.334,21194,7
E01005905,1.326,2219,1
E01005906,0.375,10643,4
E01005907,-0.32,20972,7
E01005908,-1.067,29351,9
E01005909,-0.21,19275,6
E01005910,0.509,8995,3
E01005911,0.159,13625,5
E01005912,-0.229,19555,6
E01005913,-0.103,17623,6
E01005914,0.642,7480,3
E01005915,1.106,3486,2
E01005916,0.496,9150,3
E01005917,1.114,3430,2
E01005918,2.583,52,1
E01005919,1.372,1991,1
E01005920,-0.139,18208,6
E01005921,0.908,4982,2
E01005922,0.636,7544,3
E01005923,-0.769,26669,9
E01005924,-0.503,23451,8
E01005925,-0.334,21174,7
E01005926,-0.466,22963,7
E01005927,-0.542,23959,8
E01005928,0.789,6003,2
E01005929,-0.799,26989,9
E01005930,-0.98,28660,9
E01005931,-0.546,24004,8
E01005932,-0.715,26069,8
E01005933,1.733,796,1
E01005934,0.557,8422,3
E01005935,2.063,288,1
E01005936,0.132,14002,5
E01005937,1.129,3318,2
E01005938,0.785,6047,2
E01005939,0.224,12715,4
E01005940,0.804,5865,2
E01005941,1.391,1919,1
E01005942,0.407,10238,4
E01005943,0.662,7265,3
E01005944,0.693,6961,3
E01005945,1.23,2710,1
E01005946,1.388,1932,1
E01005947,1.993,360,1
E01005948,2.157,217,1
E01005949,1.515,1409,1
E01005950,0.695,6929,3
E01005951,1.181,2974,1
E01005952,2.297,137,1
E01005953,1.603,1121,1
E01005954,1.256,2565,1
E01005955,-0.01,16162,5
E01005956,0.535,8690,3
E01005957,0.91,4969,2
E01005958,1.042,3923,2
E01005959,1.291,2398,1
E01005960,1.207,2821,1
E01005961,0.332,11184,4
E01005962,0.431,9930,4
E01005963,0.37,10721,4
E01005964,0.348,10997,4
E01005965,1.427,1755,1
E01005966,0.806,5850,2
E01005967,1.193,2909,1
E01005968,0.567,8316,3
E01005969,0.418,10087,4
E01005970,0.401,10313,4
E01005971,0.49,9212,3
E01005972,0.879,5229,2
E01005973,0.439,9836,3
E01005974,0.67,7179,3
E01005975,0.815,5763,2
E01005976,1.292,2391,1
E01005977,0.263,12139,4
E01005978,1.155,3130,1
E01005979,0.773,6150,2
E01005980,1.193,2910,1
E01005981,1.494,1498,1
E01005982,1.041,3930,2
E01005983,0.097,14564,5
E01005984,1.185,2952,1
E01005985,0.559,8396,3
E01005986,0.888,5159,2
E01005987,0.373,10682,4
E01005988,0.125,14121,5
E01005989,0.186,13256,5
E01005990,0.464,9534,3
E01005991,0.788,6012,2
E01005992,1.408,1838,1
E01005993,0.403,10280,4
E01005994,0.692,6972,3
E01005995,0.221,12764,4
E01005996,0.567,8319,3
E01005997,0.809,5809,2
E01005998,0.764,6225,2
E01005999,1.243,2630,1
E01006000,1.379,1971,1
E01006001,0.808,5829,2
E01006002,0.689,6993,3
E01006003,0.735,6520,2
E01006004,0.412,10164,4
E01006005,1.361,2032,1
E01006006,0.256,12230,4
E01006007,0.846,5478,2
E01006008,0.393,10440,4
E01006009,0.916,4904,2
E01006010,1.07,3732,2
E01006011,1.391,1922,1
E01006012,0.826,5672,2
E01006013,0.478,9356,3
E01006014,0.733,6557,2
E01006015,0.408,10219,4
E01006016,1.709,850,1
E01006017,-0.141,18242,6
E01006018,0.019,15711,5
E01006019,1.76,738,1
E01006020,0.999,4239,2
E01006021,0.516,8925,3
E01006022,0.618,7735,3
E01006023,1.404,1860,1
E01006024,-0.067,17039,6
E01006025,1.793,677,1
E01006026,0.828,5646,2
E01006027,1.847,556,1
E01006028,1.593,1148,1
E01006029,0.498,9115,3
E01006030,1.493,1499,1
E01006031,1.1,3525,2
E01006032,1.006,4187,2
E01006033,1.18,2987,1
E01006034,1.082,3662,2
E01006035,1.12,3385,2
E01006036,0.97,4453,2
E01006037,0.177,13363,5
E01006038,0.483,9289,3
E01006039,0.787,6033,2
E01006040,1.821,615,1
E01006041,0.603,7893,3
E01006042,0.406,10245,4
E01006043,0.944,4659,2
E01006044,0.729,6599,3
E01006045,-0.044,16693,6
E01006046,0.201,13053,4
E01006047,0.738,6488,2
E01006048,0.747,6395,2
E01006049,0.751,6362,2
E01006050,1.59,1155,1
E01006051,0.316,11408,4
E01006052,1.483,1547,1
E01006053,0.074,14895,5
E01006054,1.452,1654,1
E01006055,0.355,10914,4
E01006056,1.488,1528,1
E01006057,0.233,12615,4
E01006058,0.555,8446,3
E01006059,0.492,9189,3
E01006060,1.883,492,1
E01006061,0.692,6967,3
E01006062,-0.03,16455,6
E01006063,0.253,12284,4
E01006064,1.618,1075,1
E01006065,0.746,6410,2
E01006066,1.543,1313,1
E01006067,-0.097,17514,6
E01006068,1.09,3595,2
E01006069,1.003,4212,2
E01006070,0.409,10206,4
E01006071,-0.165,18603,6
E01006072,-0.344,21364,7
E01006073,0.984,4345,2
E01006074,0.352,10951,4
E01006075,-0.96,28507,9
E01006076,-0.946,28367,9
E01006077,-0.153,18435,6
E01006078,-0.024,16369,5
E01006079,-0.731,26261,8
E01006080,-0.411,22269,7
E01006081,-1.401,31346,10
E01006082,-1.3,30855,10
E01006083,-1.064,29327,9
E01006084,-1.155,29987,10
E01006085,-1.081,29452,9
E01006086,-0.709,26005,8
E01006087,-1.221,30429,10
E01006088,-0.624,25006,8
E01006089,-0.335,21205,7
E01006090,-0.18,18845,6
E01006091,-0.296,20595,7
E01006092,0.783,6060,2
E01006093,-0.525,23744,8
E01006094,-0.349,21437,7
E01006095,-0.776,26744,9
E01006096,-0.786,26853,9
E01006097,-0.626,25050,8
E01006098,-0.803,27030,9
E01006099,0.014,15780,5
E01006100,-0.287,20453,7
E01006101,-0.666,25535,8
E01006102,-0.158,18511,6
E01006103,-1.059,29290,9
E01006104,0.959,4545,2
E01006105,1.152,3151,1
E01006106,0.625,7652,3
E01006107,1.29,2401,1
E01006108,1.717,831,1
E01006109,1.141,3233,1
E01006110,0.286,11821,4
E01006111,0.574,8246,3
E01006112,1.097,3545,2
E01006113,0.295,11703,4
E01006114,0.368,10747,4
E01006115,0.82,5729,2
E01006116,-0.151,18406,6
E01006117,-0.34,21296,7
E01006118,0.619,7729,3
E01006119,-0.512,23578,8
E01006120,-0.334,21184,7
E01006121,0.254,12272,4
E01006122,-0.178,18804,6
E01006123,-0.168,18656,6
E01006124,-0.542,23971,8
E01006125,0.101,14494,5
E01006126,1.069,3738,2
E01006127,0.22,12780,4
E01006128,0.165,13546,5
E01006129,0.484,9268,3
E01006130,0.094,14610,5
E01006131,-0.243,19764,7
E01006132,0.091,14649,5
E01006133,-0.229,19563,6
E01006134,-1.36,31161,10
E01006135,-0.652,25367,8
E01006136,-1.083,29463,9
E01006137,-1.18,30169,10
E01006138,-0.144,18289,6
E01006139,-1.392,31309,10
E01006140,-0.6,24717,8
E01006141,0.294,11719,4
E01006142,0.008,15879,5
E01006143,-0.28,20349,7
E01006144,1.443,1687,1
E01006145,0.673,7147,3
E01006146,-0.15,18401,6
E01006147,-0.35,21455,7
E01006148,-0.414,22313,7
E01006149,-0.146,18338,6
E01006150,-0.531,23810,8
E01006151,-0.969,28581,9
E01006152,-0.847,27477,9
E01006153,-0.441,22651,7
E01006154,-0.42,22377,7
E01006155,0.167,13514,5
E01006156,0.238,12546,4
E01006157,-0.15,18390,6
E01006158,0.933,4767,2
E01006159,0.806,5851,2
E01006160,0.677,7094,3
E01006161,-0.721,26131,8
E01006162,-0.875,27752,9
E01006163,-0.915,28101,9
E01006164,-0.542,23965,8
E01006165,-0.026,16411,5
E01006166,0.301,11608,4
E01006167,1.462,1622,1
E01006168,1.492,1503,1
E01006169,-0.029,16444,6
E01006170,-0.118,17868,6
E01006171,0.962,4527,2
E01006172,0.067,14989,5
E01006173,-0.284,20403,7
E01006174,-0.54,23935,8
E01006175,0.988,4316,2
E01006176,0.151,13722,5
E01006177,0.652,7364,3
E01006178,-0.542,23961,8
E01006179,0.535,8691,3
E01006180,0.387,10525,4
E01006181,0.532,8719,3
E01006182,-0.125,17968,6
E01006183,-0.338,21256,7
E01006184,0.319,11375,4
E01006185,0.83,5624,2
E01006186,0.524,8828,3
E01006187,0.352,10948,4
E01006188,0.101,14508,5
E01006189,0.432,9923,4
E01006190,-0.953,28441,9
E01006191,-0.551,24068,8
E01006192,-0.711,26034,8
E01006193,-0.511,23572,8
E01006194,-0.587,24552,8
E01006195,-0.821,27208,9
E01006196,-0.469,22998,8
E01006197,-0.175,18755,6
E01006198,0.594,8004,3
E01006199,0.516,8917,3
E01006200,0.626,7649,3
E01006201,0.517,8911,3
E01006202,0.201,13050,4
E01006203,-0.378,21833,7
E01006204,-0.599,24702,8
E01006205,-0.502,23449,8
E01006206,0.418,10084,4
E01006207,1.079,3686,2
E01006208,-0.258,19997,7
E01006209,-0.716,26088,8
E01006210,-0.377,21826,7
E01006211,0.549,8523,3
E01006212,0.627,7639,3
E01006213,1.367,2007,1
E01006214,0.938,4704,2
E01006215,1.637,1024,1
E01006216,0.368,10744,4
E01006217,1.016,4125,2
E01006218,1.041,3931,2
E01006219,0.707,6810,3
E01006220,1.005,4199,2
E01006221,0.359,10872,4
E01006222,0.016,15747,5
E01006223,0.549,8522,3
E01006224,0.146,13787,5
E01006225,-0.175,18756,6
E01006226,0.454,9668,3
E01006227,0.213,12878,4
E01006228,0.384,10541,4
E01006229,-0.066,17024,6
E01006230,-0.099,17545,6
E01006231,0.3,11634,4
E01006232,-0.079,17248,6
E01006233,-0.214,19339,6
E01006234,0.577,8197,3
E01006235,1.156,3123,1
E01006236,0.196,13119,4
E01006237,-0.117,17843,6
E01006238,1.146,3193,1
E01006239,1.751,762,1
E01006240,1.459,1625,1
E01006241,1.168,3060,1
E01006242,0.374,10655,4
E01006243,0.102,14484,5
E01006244,1.378,1978,1
E01006245,0.133,13995,5
E01006246,0.947,4637,2
E01006247,0.128,14065,5
E01006248,2.103,250,1
E01006249,1.181,2977,1
E01006250,-0.235,19646,6
E01006251,-0.234,19643,6
E01006252,0.103,14457,5
E01006253,0.914,4928,2
E01006254,1.084,3651,2
E01006255,0.145,13800,5
E01006256,0.418,10091,4
E01006257,0.346,11021,4
E01006258,0.611,7808,3
E01006259,0.319,11376,4
E01006260,0.987,4321,2
E01006261,0.609,7829,3
E01006262,1.022,4075,2
E01006263,-0.038,16575,6
E01006264,-0.259,20007,7
E01006265,0.357,10891,4
E01006266,0.693,6955,3
E01006267,1.648,980,1
E01006268,0.458,9624,3
E01006269,0.647,7421,3
E01006270,1.547,1302,1
E01006271,0.587,8092,3
