LSOA_Code,Health_Score,Health_Rank,Health_Decile
E01000187,-0.599,24697,8
E01000188,-2.011,32615,10
E01000189,-0.871,27729,9
E01000190,-1.301,30863,10
E01000191,-1.605,31996,10
E01000192,-1.035,29094,9
E01000193,-1.393,31313,10
E01000194,-1.007,28883,9
E01000195,-0.58,24457,8
E01000196,-1.183,30188,10
E01000197,-1.585,31942,10
E01000198,-1.852,32466,10
E01000199,-2.149,32707,10
E01000200,-1.812,32399,10
E01000201,-1.855,32469,10
E01000202,-1.941,32558,10
E01000203,-1.173,30128,10
E01000204,-1.795,32369,10
E01000205,-1.993,32600,10
E01000206,-2.703,32823,10
E01000207,-2.053,32645,10
E01000208,-2.453,32795,10
E01000209,-1.562,31889,10
E01000210,-1.85,32462,10
E01000211,-0.835,27338,9
E01000212,-1.669,32148,10
E01000213,-2.218,32733,10
E01000214,-2.082,32660,10
E01000215,-0.575,24381,8
E01000216,-1.305,30884,10
E01000217,-1.212,30365,10
E01000218,-0.755,26523,9
E01000219,-0.764,26620,9
E01000220,-0.48,23139,8
E01000221,0.346,11027,4
E01000222,-0.287,20458,7
E01000223,-0.005,16092,5
E01000224,-0.928,28221,9
E01000225,-1.052,29235,9
E01000226,0.373,10680,4
E01000227,-1.687,32188,10
E01000228,-1.232,30502,10
E01000229,-0.868,27683,9
E01000230,-1.463,31585,10
E01000231,-1.112,29693,10
E01000232,-0.843,27433,9
E01000233,-1.829,32427,10
E01000234,-1.185,30198,10
E01000235,-0.622,24980,8
E01000236,-1.135,29846,10
E01000237,-1.722,32251,10
E01000238,-1.429,31453,10
E01000239,-0.872,27733,9
E01000240,-1.108,29663,10
E01000241,-1.771,32334,10
E01000242,-0.959,28490,9
E01000243,-0.996,28790,9
E01000244,-1.024,29007,9
E01000245,-0.366,21679,7
E01000246,-1.472,31610,10
E01000247,-1.249,30591,10
E01000248,-1.413,31384,10
E01000249,-1.947,32562,10
E01000250,-1.451,31547,10
E01000251,-0.578,24423,8
E01000252,-1.04,29137,9
E01000253,-0.861,27601,9
E01000254,-1.332,31021,10
E01000255,-1.007,28882,9
E01000256,-1.523,31768,10
E01000257,-0.383,21902,7
E01000258,-1.215,30395,10
E01000259,-1.594,31968,10
E01000260,-0.992,28756,9
E01000261,-1.964,32578,10
E01000262,-1.535,31803,10
E01000263,-2.094,32671,10
E01000264,-1.209,30350,10
E01000265,-0.774,26727,9
E01000266,-1.594,31967,10
E01000267,-1.07,29372,9
E01000268,-1.026,29031,9
E01000269,-1.522,31764,10
E01000270,-1.613,32015,10
E01000271,-1.838,32452,10
E01000272,-1.587,31949,10
E01000273,-0.964,28539,9
E01000274,-0.901,27984,9
E01000275,-0.996,28792,9
E01000276,-2.082,32661,10
E01000277,-0.769,26671,9
E01000278,-1.831,32433,10
E01000279,-2.378,32783,10
E01000280,-2.161,32712,10
E01000281,-0.996,28786,9
E01000282,-1.781,32352,10
E01000283,-2.208,32727,10
E01000284,-0.698,25901,8
E01000285,-0.706,25983,8
E01000286,-0.444,22693,7
E01000287,-0.404,22171,7
E01000288,-1.187,30211,10
E01000289,-0.327,21072,7
E01000290,-0.714,26065,8
E01000291,-0.267,20149,7
E01000292,-1.209,30345,10
E01000293,-1.409,31374,10
E01000294,-0.295,20573,7
E01000295,-1.255,30624,10
E01000296,-1.184,30194,10
E01000297,-1.322,30976,10
E01000298,-1.449,31538,10
E01000299,-0.639,25202,8
E01000300,-0.681,25728,8
E01000301,-1.613,32019,10
E01000302,-0.724,26172,8
E01000303,-1.639,32083,10
E01000304,-0.637,25168,8
E01000305,-0.648,25317,8
E01000306,-0.947,28384,9
E01000307,-1.017,28967,9
E01000308,-0.535,23868,8
E01000309,-1.603,31992,10
E01000310,-0.751,26473,9
E01000311,-1.843,32457,10
E01000312,-0.25,19872,7
E01000313,-0.586,24532,8
E01000314,-1.415,31396,10
E01000315,-0.325,21044,7
E01000316,-1.038,29122,9
E01000317,-1.149,29939,10
E01000318,-1.163,30051,10
E01000319,-1.324,30986,10
E01000320,-1.78,32351,10
E01000321,-1.081,29450,9
E01000322,-1.241,30547,10
E01000323,-0.482,23165,8
E01000324,-0.569,24311,8
E01000325,-1.385,31283,10
E01000326,-1.095,29568,10
E01000327,-0.737,26329,9
E01000328,-0.693,25850,8
E01000329,-0.916,28111,9
E01000330,-0.107,17671,6
E01000331,-0.004,16081,5
E01000332,-0.815,27166,9
E01000333,0.056,15132,5
E01000334,-0.772,26706,9
E01000335,-0.457,22863,7
E01000336,-0.129,18041,6
E01000337,-0.715,26075,8
E01000338,-0.261,20061,7
E01000339,-0.302,20683,7
E01000340,-0.481,23155,8
E01000341,-0.807,27073,9
E01000342,-1.001,28826,9
E01000343,-0.922,28161,9
E01000344,-0.703,25951,8
E01000345,-0.778,26773,9
E01000346,-0.759,26563,9
E01000347,-0.584,24499,8
E01000348,-1.292,30818,10
E01000349,-1.158,30003,10
E01000350,-0.832,27312,9
E01000351,-1.138,29869,10
E01000352,-0.728,26213,8
E01000353,-1.378,31256,10
E01000354,-0.054,16840,6
E01000355,-0.741,26368,9
E01000356,-0.915,28103,9
E01000357,-1.286,30783,10
E01000358,-1.075,29404,9
E01000359,-1.244,30561,10
E01000360,0.031,15529,5
E01000361,-0.882,27815,9
E01000362,-0.903,27999,9
E01000363,-0.759,26560,9
E01000364,-0.489,23280,8
E01000365,-0.431,22519,7
E01000366,-0.838,27379,9
E01000367,-0.195,19056,6
E01000368,-0.015,16226,5
E01000369,-0.567,24292,8
E01000370,-0.682,25739,8
E01000371,-0.965,28547,9
E01000372,0.357,10897,4
E01000373,0.174,13403,5
E01000374,0.69,6984,3
E01000375,-0.393,22035,7
E01000376,-0.26,20021,7
E01000377,-0.888,27872,9
E01000378,-0.211,19297,6
E01000379,-0.573,24356,8
E01000380,-0.259,20017,7
E01000381,-0.036,16553,6
E01000382,-1.105,29621,10
E01000383,-0.35,21461,7
E01000384,-0.742,26374,9
E01000385,0.563,8367,3
E01000386,0.897,5077,2
E01000387,-0.773,26716,9
E01000388,-0.924,28181,9
E01000389,-1.107,29651,10
E01000390,-0.457,22867,7
E01000391,-0.908,28045,9
E01000392,-0.062,16975,6
E01000393,-0.883,27829,9
E01000394,-0.63,25082,8
E01000395,-0.966,28552,9
E01000396,-0.554,24118,8
E01000398,-0.448,22736,7
E01000399,-1.177,30155,10
E01000400,-0.656,25420,8
E01000401,-0.017,16258,5
E01000402,-0.249,19848,7
E01000403,-0.18,18842,6
E01000404,0.148,13754,5
E01000405,0.175,13397,5
E01000406,-0.179,18819,6
E01000407,-0.606,24785,8
E01000408,-0.075,17183,6
E01000409,-1.249,30594,10
E01000410,-0.804,27041,9
E01000411,-0.831,27296,9
E01000412,-0.87,27712,9
E01000413,-0.845,27456,9
E01000414,-0.966,28556,9
E01000415,-1.211,30356,10
E01000416,-0.361,21601,7
E01000417,-0.351,21466,7
E01000418,-0.624,25008,8
E01000419,-0.777,26760,9
E01000420,-0.76,26570,9
E01000421,-0.614,24878,8
E01000422,0.029,15567,5
E01000423,-1.349,31110,10
E01000424,-1.336,31046,10
E01000425,-0.545,23986,8
E01000426,-0.843,27434,9
